study_id,esvd2_0_biome,esvd2_0_ecozones,esvd2_0_ecosystems,es_1,countries,continent,scale_of_site,protection_status,site_area_in_hectares,ecosystem_condition,latitude,longitude,valuation_methods,value_year,beneficiary_unit,number_of_beneficiaries,int_per_hectare_per_year,year_pub
1516,Marine,Shelf sea,Coral reefs,Erosion prevention,Indonesia,Asia,Local,NA,37.54,NA,-2.53371,140.71813,CV,2018,total,NA,18005.7,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,Moderation of extreme events,Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,RC,2018,total,NA,846.98,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,Moderation of extreme events,Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,RC,2018,total,NA,18005.71,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,MP,2018,total,NA,6877.42,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,MP,2018,total,NA,3551.68,2020
1516,Marine,Shelf sea,Seagrass meadows,"Existence, bequest values",Indonesia,Asia,Local,NA,110.83,NA,-2.53371,140.71813,CV,2018,total,NA,47.14,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,"Existence, bequest values",Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,CV,2018,total,NA,2639.5,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,"Existence, bequest values",Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,CV,2018,total,NA,26.19,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,MP,2018,total,NA,7736.660000000001,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,MP,2018,total,NA,7568.94,2020
1516,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,NA,233.12,NA,-2.53371,140.71813,MP,2018,total,NA,6877.42,2020
1516,Marine,Shelf sea,Seagrass meadows,"Existence, bequest values",Indonesia,Asia,Local,NA,110.83,NA,-2.53371,140.71813,CV,2018,total,NA,956.55,2020
1513,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Mexico,North America,Local,Protected,45.9,NA,15.7167,-96.175,CV,2009,total,33900,7168.22,2018
1513,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Mexico,North America,Local,Protected,45.9,NA,15.7167,-96.175,CV,2009,total,192100,18892.99,2018
1513,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Mexico,North America,Local,Protected,78,NA,20.675,-105.5917,CV,2009,total,76500,13680.79,2018
1513,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Mexico,North America,Local,Protected,78,NA,20.675,-105.5917,CV,2009,total,93500,10010.94,2018
1513,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Mexico,North America,Local,Protected,450,NA,23.4333,-109.425,CV,2009,total,7800,387.32,2018
1513,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Mexico,North America,Local,Protected,450,NA,23.4333,-109.425,CV,2009,total,4200,183.28,2018
1512,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Mexico,North America,Local,Protected,2200,NA,20.5083,-86.945,CV,2008,Person,112493,20894.34,2015
1512,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Honduras,North America,Local,Protected,40,NA,16.315,-86.55,CV,2008,Person,1340,16008.41,2015
1511,Coastal systems,Shorelines,Sandy shorelines,Opportunities for recreation and tourism,Aruba,North America,National,Partially protected,11.3,NA,12.5109316,-69.96181,MP,2016,person,582313,1919597.52,2018
1511,Coastal systems,Shorelines,Sandy shorelines,Opportunities for recreation and tourism,Aruba,North America,National,Partially protected,11.3,NA,12.5109316,-69.96181,MP,2016,person,1072082,24425649.7,2018
1510,Marine,Shelf sea,Seagrass meadows,Food,Indonesia,Asia,Local,NA,118.16,NA,-1.7853,124.7934,MP,2020,total,NA,10353.5,2020
1510,Marine,Shelf sea,Seagrass meadows,Food,Indonesia,Asia,Local,NA,118.16,NA,-1.7853,124.7934,MP,2020,total,NA,25883.760000000002,2020
1510,Marine,Shelf sea,Seagrass meadows,"Existence, bequest values",Indonesia,Asia,Local,NA,118.16,NA,-1.7853,124.7934,CV,2020,Household,904,516222.68,2020
1510,Marine,Shelf sea,Seagrass meadows,"Existence, bequest values",Indonesia,Asia,Local,NA,118.16,NA,-1.7853,124.7934,OT,2020,total,NA,3623.73,2020
1509,Marine,Shelf sea,Coral reefs,Food,Indonesia,Asia,Sub-national,Protected,448.71,NA,-8.083,114.5,PF,2019,total,NA,754.9599999999999,2022
1509,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Indonesia,Asia,Sub-national,Protected,448.71,NA,-8.083,114.5,CV,2019,total,27018,1264.96,2022
1509,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Indonesia,Asia,Sub-national,Protected,448.71,NA,-8.083,114.5,CV,2019,total,8621,242.18,2022
1509,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Indonesia,Asia,Sub-national,Protected,448.71,NA,-8.083,114.5,CV,2019,total,NA,908.16,2022
1509,Marine,Shelf sea,Coral reefs,Maintenance of life cycles,Indonesia,Asia,Sub-national,Protected,448.71,NA,-8.083,114.5,RC,2019,total,NA,1785.7,2022
1509,Marine,Shelf sea,Coral reefs,Erosion prevention,Indonesia,Asia,Sub-national,Protected,448.71,NA,-8.083,114.5,RC,2019,total,8621,11388.31,2022
1509,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Indonesia,Asia,Sub-national,Protected,448.71,NA,-8.083,114.5,TC,2019,total,27018,59623.96,2022
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,"Existence, bequest values",Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,CV,2019,total,NA,0.08,2020
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,MP,2019,total,NA,8.450000000000001,2020
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,MP,2019,total,NA,73.01,2020
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,MP,2019,total,NA,520.91,2020
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,MP,2019,total,NA,483.84000000000003,2020
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,Genetic resources,Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,MP,2019,total,NA,0.33999999999999997,2020
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,MP,2019,total,NA,6.34,2020
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,Climate regulation,Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,PF,2019,total,NA,112256.87000000001,2020
1508,Coastal systems,Coastal wetlands and river deltas,Mangroves,Moderation of extreme events,Indonesia,Asia,Local,NA,738,NA,-6.22248,107.58602,RC,2019,total,NA,4277.14,2020
1507,Coastal systems,Coastal wetlands and river deltas,Mangroves,Climate regulation,Multipais,North America,Multi-country,NA,57000,NA,13.7825,-90.138,SC,2020,total,NA,13.03,2022
1507,Coastal systems,Coastal wetlands and river deltas,Mangroves,Climate regulation,Multipais,North America,Multi-country,NA,57000,NA,13.7825,-90.138,SC,2020,total,NA,15.94,2022
1507,Coastal systems,Coastal wetlands and river deltas,Mangroves,Climate regulation,Multipais,North America,Multi-country,NA,57000,NA,13.7825,-90.138,SC,2020,total,NA,2.53,2022
1507,Coastal systems,Coastal wetlands and river deltas,Mangroves,Climate regulation,Multipais,North America,Multi-country,NA,57000,NA,13.7825,-90.138,SC,2020,total,NA,3.15,2022
1506,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Jamaica,North America,National,NA,124000,NA,18.4727,-77.4158,OT,2019,total,NA,529.65,2020
1506,Marine,Shelf sea,Coral reefs,Food,Jamaica,North America,National,NA,124000,NA,18.4727,-77.4158,OT,2019,total,NA,532.53,2020
1506,Marine,Shelf sea,Coral reefs,Medicinal resources,Jamaica,North America,National,NA,124000,NA,18.4727,-77.4158,OT,2019,total,NA,1525.62,2020
1506,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Jamaica,North America,National,NA,124000,NA,18.4727,-77.4158,OT,2019,total,NA,4928.04,2020
1506,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Grenada,North America,National,NA,8400,NA,12.0228,-61.7666,OT,2019,total,NA,4523.75,2020
1506,Marine,Shelf sea,Coral reefs,Food,Dominican Republic,North America,National,NA,11600,NA,18.3,-68.9,OT,2019,total,NA,4187.7,2020
1506,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Dominican Republic,North America,National,NA,11600,NA,18.3,-68.9,OT,2019,total,NA,114616.6,2020
1505,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Dominican Republic,North America,National,NA,29316,NA,19.8,-69.5,MP,2021,total,NA,2122.36,2024
1505,Marine,Shelf sea,Seagrass meadows,"Existence, bequest values",Dominican Republic,North America,National,NA,18600,NA,19.3116,-69.5748,CV,2022,total,2854735,3525.13,2024
1505,Marine,Shelf sea,Seagrass meadows,Climate regulation,Dominican Republic,North America,National,NA,18600,NA,19.3116,-69.5748,MP,2021,total,NA,1375.42,2024
1505,Coastal systems,Coastal wetlands and river deltas,Mangroves,"Existence, bequest values",Dominican Republic,North America,National,NA,29316,NA,19.8,-69.5,CV,2021,total,2854735,3058.9900000000002,2024
1505,Coastal systems,Coastal wetlands and river deltas,Mangroves,Climate regulation,Dominican Republic,North America,National,NA,29316,NA,19.8,-69.5,Multimetodologia,2022,total,NA,1882.3799999999999,2024
1505,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Dominican Republic,North America,National,NA,11600,NA,18.3,-68.9,CV,2021,total,2854735,7293.18,2024
1505,Marine,Shelf sea,Coral reefs,Food,Dominican Republic,North America,National,NA,11600,NA,18.3,-68.9,MP,2021,total,NA,4406.52,2024
1505,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Dominican Republic,North America,National,NA,11600,NA,18.3,-68.9,MP,2022,total,NA,243021.58,2024
1505,Coastal systems,Coastal wetlands and river deltas,Coastal salt marshes and reedbeds,Climate regulation,Dominican Republic,North America,National,NA,66755,NA,18.2,-71.3,MP,2022,total,NA,2747.06,2024
1505,Coastal systems,Coastal wetlands and river deltas,Coastal salt marshes and reedbeds,"Existence, bequest values",Dominican Republic,North America,National,NA,66755,NA,18.2,-71.3,CV,2021,total,2854735,1175.1799999999998,2024
1504,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Sub-national,NA,4354.110000000001,NA,1.2408,104.5756,PF,2018,total,NA,4019.52,2024
1504,Coastal systems,Coastal wetlands and river deltas,Mangroves,Moderation of extreme events,Indonesia,Asia,Sub-national,NA,4354.110000000001,NA,1.2408,104.5756,RC,2018,total,NA,435.76,2024
1504,Coastal systems,Coastal wetlands and river deltas,Mangroves,Erosion prevention,Indonesia,Asia,Sub-national,NA,4354.110000000001,NA,1.2408,104.5756,RC,2018,total,NA,521.52,2024
1504,Coastal systems,Coastal wetlands and river deltas,Mangroves,"Existence, bequest values",Indonesia,Asia,Sub-national,NA,4354.110000000001,NA,1.2408,104.5756,CV,2018,total,NA,104.91000000000001,2024
1504,Coastal systems,Coastal wetlands and river deltas,Mangroves,Opportunities for recreation and tourism,Indonesia,Asia,Sub-national,NA,4354.110000000001,NA,1.2408,104.5756,TC,2018,total,NA,1254.03,2024
1504,Coastal systems,Coastal wetlands and river deltas,Mangroves,Maintenance of life cycles,Indonesia,Asia,Sub-national,NA,4354.110000000001,NA,1.2408,104.5756,PF,2018,total,NA,118.19,2024
1503,Marine,Shelf sea,Seagrass meadows,Food,Indonesia,Asia,Local,NA,35,NA,2.2844,118.2431,PF,2020,total,20,104451.03,2020
1503,Marine,Shelf sea,Seagrass meadows,Food,Indonesia,Asia,Local,NA,35,NA,2.2844,118.2431,PF,2020,total,173,39416.189999999995,2020
1502,Marine,Shelf sea,Coral reefs,Food,Jamaica,North America,National,No protection,76300,Highly degraded (or intensively managed),18.1625835,-77.3119885,MP,2005,Total,NA,1027.7,2011
1501,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Guatemala,North America,Local,Protected,84063.95,NA,16,-88,FI,2018,Total,287000,191.19,2021
1501,Marine,Shelf sea,Coral reefs,Food,Belize,North America,Local,Protected,326286.21,NA,17,-88,FI,2018,Total,2550,109.51,2021
1501,Marine,Shelf sea,Coral reefs,Food,Honduras,North America,Local,Protected,153048,NA,16,-87,FI,2018,Total,17000,1577,2021
1501,Marine,Shelf sea,Coral reefs,Food,Guatemala,North America,Local,Protected,84063.95,NA,16,-88,FI,2018,Total,12750,1272.6599999999999,2021
1501,Marine,Shelf sea,Coral reefs,Food,Mexico,North America,Local,Protected,5998859.84,NA,20,-86,FI,2018,Total,2877,7.81,2021
1501,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Belize,North America,Local,Protected,326286.21,NA,17,-88,FI,2019,Total,320000,1225.79,2021
1501,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Honduras,North America,Local,Protected,153048,NA,16,-87,FI,2019,Total,0,2870.61,2021
1501,Marine,Shelf sea,Coral reefs,Opportunities for recreation and tourism,Mexico,North America,Local,Protected,5998859.84,NA,20,-86,FI,2019,Total,8361369,1195.73,2021
1501,Marine,Shelf sea,Coral reefs,Moderation of extreme events,Guatemala,North America,Local,Protected,84063.95,NA,16,-88,DC,2019,Total,NA,88.47,2021
1501,Marine,Shelf sea,Coral reefs,Moderation of extreme events,Mexico,North America,Local,Protected,5998859.84,NA,20,-86,DC,2019,Total,NA,121.83,2021
1501,Marine,Shelf sea,Coral reefs,Moderation of extreme events,Honduras,North America,Local,Protected,153048,NA,16,-87,DC,2019,Total,NA,146.89000000000001,2021
1501,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Multipais,North America,Local,Protected,1700000,NA,18.5,-87.5,CV,2020,Person,26879054,121.67999999999999,2021
1501,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Multipais,North America,Local,Protected,1700000,NA,18.5,-87.5,CV,2020,Person,10118019,8.209999999999999,2021
1501,Marine,Shelf sea,Coral reefs,Moderation of extreme events,Belize,North America,Local,Protected,326286.21,NA,17,-88,DC,2019,Total,NA,59.52,2021
1501,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Multipais,North America,Local,Protected,1700000,NA,18.5,-87.5,CV,2020,Person,120354492,2208.8900000000003,2021
1501,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Multipais,North America,Local,Protected,1700000,NA,18.5,-87.5,CV,2020,Person,14518852,63.48,2021
1501,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Multipais,North America,Local,Protected,1700000,NA,18.5,-87.5,CV,2020,Person,42285,0.45,2021
1501,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Multipais,North America,Local,Protected,1700000,NA,18.5,-87.5,CV,2020,Person,708808,5,2021
1501,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Multipais,North America,Local,Protected,1700000,NA,18.5,-87.5,CV,2020,Person,2767337,25,2021
1501,Marine,Shelf sea,Coral reefs,"Existence, bequest values",Multipais,North America,Local,Protected,1700000,NA,18.5,-87.5,CV,2020,Person,24100000,257.01,2021
1500,Marine,Shelf sea,Coral reefs,Erosion prevention,Jamaica,North America,Local,Protected,39.852999999999994,Highly degraded (or intensively managed),18.4040863,-77.0742237,DC,2000,total,NA,189030.86,2001
1500,Marine,Shelf sea,Coral reefs,Food,Jamaica,North America,Local,Protected,39.852999999999994,Highly degraded (or intensively managed),18.4040863,-77.0742237,FI,2000,total,258,7408.29,2001
1499,Marine,Shelf sea,Coral reefs,Food,Jamaica,North America,Local,NA,1200,NA,18.4599093,-77.4028208,MP,2000,total,49,1366.92,2003
1495,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,Protected,267592.42000000004,NA,-1.95,104.6593,MP,2022,total area,NA,0.01,2023
1495,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Indonesia,Asia,Local,Protected,267592.42000000004,NA,-1.95,104.6593,MP,2022,total area,NA,0.01,2023
1495,Coastal systems,Coastal wetlands and river deltas,Mangroves,Raw materials,Indonesia,Asia,Local,Protected,267592.42000000004,NA,-1.95,104.6593,MP,2022,total area,NA,0.03,2023
1495,Coastal systems,Coastal wetlands and river deltas,Mangroves,Food,Indonesia,Asia,Local,Protected,267592.42000000004,NA,-1.95,104.6593,MP,2022,total area,NA,22.32,2023
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States Virgin Islands,North America,Local,NA,1000,NA,17.7453,-64.779,DC,2010,total,NA,726.42,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States Virgin Islands,North America,Local,NA,2000,NA,18.3358,-64.8963,DC,2010,total,NA,2453.3,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States Virgin Islands,North America,Local,NA,2000,NA,18.3205,-64.7118,DC,2010,total,NA,2284.4700000000003,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States Virgin Islands,North America,Local,NA,1000,NA,18.3205,-64.7118,DC,2010,total,NA,445.03,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,700,NA,20.8,-156.85,DC,2010,total,NA,70.64999999999999,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States Virgin Islands,North America,Local,NA,3000,NA,17.7453,-64.779,DC,2010,total,NA,9783.4,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,3000,NA,18.1519,-65.4406,DC,2010,total,NA,8267.75,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,300,NA,18.1519,-65.4406,DC,2010,total,NA,38.05,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,300,NA,18.293,-65.283,DC,2010,total,NA,368.62,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,500,NA,18.293,-65.283,DC,2010,total,NA,673.03,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,500,NA,18.2208,-66.5902,DC,2010,total,NA,349.13,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,2000,NA,18.2208,-66.5902,DC,2010,total,NA,68944.20999999999,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,2000,NA,21.9272,-160.07,DC,2010,total,NA,38721.1,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,400,NA,21.9662,-159.573,DC,2010,total,NA,3.13,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,2000,NA,21.9662,-159.573,DC,2010,total,NA,3800.4900000000002,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,2000,NA,21.4389,-158,DC,2010,total,NA,3441.12,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,2500,NA,21.4389,-158,DC,2010,total,NA,91408.87000000001,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,2500,NA,20.5773,-156.25,DC,2010,total,NA,94483.05,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,700,NA,20.5773,-156.25,DC,2010,total,NA,122.79,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,800,NA,20.8,-156.85,DC,2010,total,NA,2,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,800,NA,20.7984,-156.332,DC,2010,total,NA,78.95,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,1100,NA,20.7984,-156.332,DC,2010,total,NA,282627.38,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,1100,NA,19.8968,-155.583,DC,2010,total,NA,120452.76,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,1500,NA,19.8968,-155.583,DC,2010,total,NA,20913.59,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,1500,NA,24.555,-81.78,DC,2010,total,NA,18806.29,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,11000,NA,24.555,-81.78,DC,2010,total,NA,4591.94,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,11000,NA,21.2961,-157.815,DC,2010,total,NA,3433.02,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,United States of America,North America,Local,NA,1000,NA,21.2961,-157.815,DC,2010,total,NA,324534.48000000004,2019
1491,Marine,Shelf sea,Coral reefs,Moderation of extreme events,Guam,Oceania,Local,NA,1000,NA,13.4443,-144.794,DC,2010,total,NA,380668.94,2019
1490,Coastal systems,Shorelines,Sandy shorelines,Opportunities for recreation and tourism,United States of America,North America,Sub-national,NA,1095,Intermediate,21.5,-158,CE,2009,person,989408,19736.91,2016
1488,Coastal systems,Shorelines,Sandy shorelines,Opportunities for recreation and tourism,United States of America,North America,Local,NA,2.4,Intermediate,21.2752,-157.8312,TC,2023,person,5614956,7459211.6899999995,2024
